R,A_M,Type
0.17,16.12,0
0.1542,16.6,0
0.102,18.7,0
0.16,16.65,0
0.103,20.06,0
0.11,16.98,0
0.127,17.22,0
0.096,17.4,0
0.11,17.45,0
0.13,16.05,0
0.51,10.69,1
0.3761,11.79,1
0.196,13.21,1
0.393,10.48,1
0.14,11.782,1
0.24,13.07,1
0.16,14.79,1
0.47,10.8,1
0.1967,13.53,1
0.351,11.18,1
0.0084,10.58,2
0.01234,14.02,2
0.011,14.23,2
0.01,14.5,2
0.014,11.89,2
0.00984,12.23,2
0.0097,14.2,2
0.0128,14.47,2
0.011,12.59,2
0.013,14.08,2
10.6,-4.7,3
6.3,-4.2,3
7.2,-1.97,3
2.89,0.16,3
0.9,5.05,3
1.8,2.42,3
1.12,2.41,3
0.98,2.93,3
1.106,4.46,3
0.99,5.03,3
19,-6.93,4
23,-6.2,4
88,-6.02,4
17,-7.22,4
25,-6,4
29,-6.6,4
45,-6.78,4
89,-5.24,4
84,-6.74,4
26,-6.1,4
1520,-9.4,5
1260,-7.63,5
1183,-9.2,5
1648,-8.05,5
1324,-7.79,5
1349,-11.75,5
1673,-11.92,5
1284,-11.28,5
955,-11.24,5
1546,-11.36,5
0.057,16.23,0
0.19,16.94,0
0.094,16.09,0
0.0918,16.96,0
0.116,18.89,0
0.132,17.13,0
0.093,18.34,0
0.0911,16.45,0
0.118,17.39,0
0.12,19.43,0
0.273,12.3,1
0.38,10.12,1
0.18,13.2,1
0.35,11.94,1
0.291,10.89,1
0.35,11.76,1
0.24,13.46,1
0.307,11.87,1
0.098,12.81,1
0.161,13.98,1
0.012,14.09,2
0.0092,12.02,2
0.0095,13.78,2
0.015,12.45,2
0.0089,12.17,2
0.0109,13.98,2
0.0092,12.13,2
0.0087,11.19,2
0.00892,12.97,2
0.0131,11.34,2
0.91,5.49,3
0.865,6.506,3
0.795,6.228,3
1.13,4.78,3
2.63,1.45,3
6.98,-2.3,3
0.876,4.68,3
1.34,2.44,3
7.01,0.02,3
10.2,-4.4,3
12,-6.5,4
14,-6.23,4
36,-5.76,4
83,-6.89,4
12,-5.91,4
42,-6.12,4
63,-5.83,4
36,-6.34,4
57,-6.24,4
67,-5.79,4
1289,-10.7,5
1124,-10.81,5
1635,-11.33,5
1486,-10.92,5
1522,-10.86,5
1324,-11.03,5
1534,-11.39,5
876,-10.25,5
1467,-10.07,5
1324,-10.7,5
0.0912,17.16,0
0.0976,19.94,0
0.11,20.02,0
0.0932,16.92,0
0.109,17.12,0
0.121,19.63,0
0.0932,16.88,0
0.0899,16.71,0
0.0782,19.56,0
0.0856,18.09,0
0.492,10.87,1
0.38,10.34,1
0.31,11.17,1
0.34,13.12,1
0.62,14.23,1
0.73,14.75,1
0.24,11.43,1
0.56,14.26,1
0.34,12.23,1
0.256,14.33,1
0.00981,13.67,2
0.0112,11.52,2
0.00934,12.78,2
0.00972,11.92,2
0.00898,11.38,2
0.00879,14.87,2
0.00945,12.83,2
0.00892,12.89,2
0.00878,14.81,2
0.00996,11.23,2
6.02,-4.01,3
2.487,0.12,3
5.745,-2.04,3
5.68,-3.32,3
5.92,-3.98,3
6.4,-4.09,3
5.49,-3.8,3
6.78,-3.4,3
6.21,-1.38,3
6.86,-4.56,3
57,-5.92,4
36,-6.245,4
83,-5.62,4
97,-6.63,4
35,-7.34,4
24,-7.22,4
73,-5.69,4
39,-5.83,4
30,-6.09,4
24,-5.99,4
1480,-7.58,5
1420,-8.18,5
1315,-9.2,5
1679,-9.1,5
1190,-7.89,5
1553,-7.71,5
1045,-8.3,5
1779,-9.9,5
708.9,-7.84,5
1134.5,-8.24,5
0.0915,16.21,0
0.116,18.39,0
0.126,17.56,0
0.0987,17.34,0
0.0773,17.08,0
0.0973,16.93,0
0.119,17.45,0
0.0998,16.67,0
0.112,19.45,0
0.129,16.35,0
0.148,11.47,1
0.46,10.73,1
0.28,13.45,1
0.378,12.854,1
0.319,12.43,1
0.67,13.667,1
0.258,14.12,1
0.336,14.94,1
0.471,12.78,1
0.675,14.776,1
0.0121,12.87,2
0.0114,11.92,2
0.0113,12.23,2
0.0116,12.9,2
0.0124,11.22,2
0.0142,11.34,2
0.0127,10.55,2
0.0104,10.18,2
0.0106,11.66,2
0.00998,11.62,2
6.36,-3.67,3
5.856,0.013,3
5.992,-0.12,3
6.64,-2.55,3
6.39,-4.57,3
6.237,-4.36,3
1.91,1.236,3
6.03,-3.08,3
5.653,-2.64,3
1.93,-0.98,3
35,-6.27,4
76,-7.02,4
98,-6.98,4
81,-5.975,4
62,-6.35,4
46,-7.45,4
80,-7.262,4
25,-6.224,4
86,-5.905,4
92,-7.346,4
1494,-8.84,5
1356,-9.29,5
1948.5,-10.84,5
1252,-7.59,5
1130,-7.67,5
1356,-9.93,5
1194,-10.63,5
1423,-10.73,5
1112,-11.23,5
1783,-7.8,5
